category,name,address,postal_code,phone,phone2,website,email,hours,services,notes,rating,halal_status,languages
Accounting,CPA Services - Albion Road,,,,,,,,,,,,
Additional Notable Services,Master Maid,,,,,mastermaid.ca,,,"Steam carpet cleaning, upholstery cleaning, hard floor cleaning",,,,
Additional Notable Services,Reliable Carpet & Upholstery Care,,,,,reliablecarpet.ca,,,"Carpet cleaning, area rug cleaning (pickup and delivery), upholstery cleaning, steam cleaning",,,,
Additional Notable Services,Right Way Cleaning Services,,,(647) 382-1357,,rightwaycleaning.ca,,,"Area rug cleaning, carpet steam cleaning, carpet deodorizing and disinfection, commercial carpet cleaning, upholstery cleaning, mattress cleaning, Persian carpet cleaning, pet odor and stain removal, Scotch Guarding",,,,
African Cargo Services,Cargonaija,,,,,,,,,,,,
African Cargo Services,GIG Logistics,,,,,,,,,,,,
African Food Markets,A to Z African and West Indies Market,"1040 Albion Rd, Etobicoke, ON M9V 1A7",M9V 1A7,(647) 436-2550,,,,Mon-Sat 10AM-9PM; Sun 10AM-7PM,"African (Nigerian focus) and West Indian foods—yam, garri, stockfish, elubo, plantain",,,,
African Food Markets,Kaneshi Market,"1050 Albion Rd, Etobicoke, ON M9V 1A7",M9V 1A7,(416) 578-6123,,,,,African groceries,,,,
African Grocery Stores,Adepa African Market Inc,,,416-856-9480,,,,,,,,,
African Grocery Stores,Afromarts - African Caribbean Groceries,,,647-343-0288,,,,,,,,,
African Grocery Stores,New Asafo Market INC,,,416-742-6660,,,,Open until 9pm,,,,,
African Hair Braiding Salons,Aur\u00e9lux Hair,"65 Moncrieff Drive, Etobicoke, ON M9W 2R3",M9W 2R3,,,,,,"Hair weaves, wig installation, hair treatment, quick weave (middle part, side part, slick back)",,,,
African Hair Braiding Salons,Blite Barbershop,"1170 Albion Rd, Etobicoke, ON M9V 1A8",M9V 1A8,(437) 216-9875,,,,,"Balayage, children's haircuts, hair braiding, colouring",Specializes in ethnic hair types,,,
African Hair Braiding Salons,Canara Hair Salon,,,,,,,,"Hair extensions, weaving, single braids, dreadlocks, twist braids, treatments, cut & style, updo, eyelash extensions, children's haircuts",,,,
Alarm Systems,Blaze Alarms Ltd.,,,416-250-7398,,blazealarms.com,,,,,,,
Alarm Systems,SafeTech Alarm Systems,,,416-229-9902,,safetechalarms.com,,,,,,,
Appliance Repair Services,Appliance Repair Etobicoke Rexdale,,,647-560-1176,,appliancerepairetobicoke.ca/rexdale,,"Same-day service including evenings, weekends, holidays","Refrigerator, washer, dryer, dishwasher, oven, stove, microwave repair; commercial/residential",Serves Rexdale specifically; parts warranty included,,,
Appliance Repair Services,Easy Repair (Rexdale),,,(647) 797-9762,,easyrepair.ca,,,All major appliances,Same-day service; licensed technicians; free estimates,,,
Appliance Repair Services,KMG Appliance Repair,,,,,kmgappliancerepair.ca,,,All major appliances; installation and repair,Family-owned; 90-day service and parts warranty; same-day repairs,,,
Appliance Repair Services,Spark Service PRO,,,888-242-0777,,fixappliances.ca/etobicoke-appliance-repair,,,### Handyman Services,18+ years experience; factory-trained; same-day service,,,
Area Rug Cleaning Specialists,Babayan's Rug Cleaning,,,,,babayans.com/etobicoke/,,,### Additional Notable Services,,,,
Area Rug Cleaning Specialists,Love Your Rug,,,(416) 538-1772 / 1-877-588-8784,,www.loveyourrug.ca/rug-cleaning-etobicoke/,,"Mon-Fri 8am-6pm, Sat 8am-4pm","Persian rug cleaning, Oriental rug cleaning, silk rug cleaning, wool rug cleaning, cowhide rug cleaning, Flokati rug cleaning, in-home carpet cleaning, rug repair (re-fringing, resurging, cutting and binding, color restoration), enzyme treatment, disinfectant treatment, Scotchgard/fabric protector",,,,
Arenas & Ice Rinks,Pine Point Arena,,,416-394-8692,,,,,,,,,
Arenas & Ice Rinks,Westwood Arena (Private),,,416-675-7605,,,,,,,,,
Art/Hobby Classes,Arts Etobicoke - Rexdale Community Hub,"21 Panorama Court, Etobicoke, ON M9V 4E3",M9V 4E3,,,artsetobicoke.com,ana@artsetobicoke.com,,"FREE arts programs—after-school arts (ages 6-14), seniors visual arts/dance (55+), youth music production (14+), henna design",Professional artist instructors; free supplies provided,,,
Art/Hobby Classes,Arts Etobicoke - Thistletown Community Centre,"925 Albion Rd, Etobicoke, ON M9V 1A6",M9V 1A6,,,artsetobicoke.com,ana@artsetobicoke.com,,"FREE after-school arts programs—ages 6-9 Wednesdays, ages 10-14 Thursdays",,,,
Art/Hobby Classes,Canada Music Academy (In-Home Lessons),Service Area: Etobicoke/Rexdale,,416-207-0884,,canadamusicacademy.ca,,,"Piano, guitar, voice, drums, violin, theory—lessons available at your home in Rexdale area",,,,
Art/Hobby Classes,Dynamic Dance Arts,"235 Dixon Road (Unit 19-A), Etobicoke, ON M9P 2M5",M9P 2M5,416-792-2150,,dynamicdancearts.com,,Mon 5PM-9PM; Tue-Thu 5PM-8:30PM; Sat 9AM-1PM,"Recreational/competitive dance, camps, birthday parties—Ballet, Jazz, Tap, Hip Hop, Lyrical, Contemporary, Acro",,,,
Art/Hobby Classes,Rexdale Women's Centre - Crafts Workshops,"925 Albion Road, Suite 309, Etobicoke, ON M9V 1A6",M9V 1A6,647-206-2251,,,KHowsi@rexdalewomen.org,,"FREE workshops—Knitting (Mon 6-7PM), Jewelry Making (Tue 5-7PM), Hand Sewing (Fri 1-3PM), Kids Crafting (Fri 6-7:30PM), Sewing Class (Sat 9:30-11:30AM)",,,,
Asian/Multi-Ethnic Supermarkets,Babel Fine Foods,"6620 Finch Ave W, Etobicoke, ON M9V 5H7",M9V 5H7,(647) 515-7894,,,,,Middle Eastern groceries,,,,
Asian/Multi-Ethnic Supermarkets,Galati Bros Supermarkets,"415 The Westway, Etobicoke, ON M9R 1H5",M9R 1H5,(416) 246-1155,,,,,"Italian/European supermarket—fresh produce, imported European foods, deli items",,,,
Asian/Multi-Ethnic Supermarkets,Jas East West Indian & African Foods,"415 The Westway, Etobicoke, ON M9R 1H5",M9R 1H5,(416) 244-9713,,,,Daily until 5:45 PM,"West Indian and African foods, fresh fruits & vegetables",,,,
Auto Body Shops & Collision Repair,Best Deals Auto,,,,,,,,"Body repair, safety certificates ($99.99), vehicle appraisals (from $79.99), 3D laser wheel alignment (from $79.99)",,,,
Auto Body Shops & Collision Repair,CSN Airport Martino Bros Collision,"Dixon Road area, Etobicoke (near airport)",,,,csncollision.com,,,"Heavy collision/frame repair, OEM repair procedures, vehicle technology expertise",CSN Collision network member,,,
Auto Body Shops & Collision Repair,R&S Auto (Body Shop),,,,,rsauto.ca,,,"Body repair, collision repair, frame straightening, glass repair/replacement, insurance coordination",,,,
Auto Detailing,Rexdale Auto Detailing Inc.,"2082 Kipling Ave, Toronto, ON M9W 4J9",M9W 4J9,(416) 856-4295,,rexdaleautodetailing.ca,info@rexdaleautodetailing.ca,Mon-Fri 8:00 AM \u2013 6:00 PM; Sat 8:00 AM \u2013 6:00 PM; Sun 12:00 PM \u2013 3:00 PM,"Interior & exterior cleaning/detailing for cars, trucks, vans, SUVs",Offers local pickup and delivery service,,,
Auto Glass Repair,Advantage Auto Glass Repair,"79 Racine Rd, Etobicoke, ON M9W 2Z4",M9W 2Z4,(416) 398-2500,,abrams.ca,,24/7/365,"Light-duty towing, flatbed towing, heavy-duty towing (50-ton wreckers), motorcycle towing, RGN towing, winching/recovery",,,,
Auto Glass Repair,Auto Glass Canada Etobicoke,,,,,autoglassetobicoke.ca / autoglasscanada.ca,,,"Windshield repair, windshield replacement, back glass, quarter glass, window glass, mobile services",Mobile service at no extra cost; works with all major insurance companies,,,
Auto Glass Repair,Bolt Auto Glass,,,,,boltautoglass.ca,,,"Mobile windshield repair & replacement, ADAS recalibration",,,,
Auto Glass Repair,Speedy Glass Etobicoke Kipling,,,,,speedyglass.ca,,,"Windshield repair & replacement, ADAS recalibration",,,,
Auto Parts Stores,301 Rexdale Blvd Used Auto Parts,"104 Rexdale Blvd, Toronto, ON M9W 1P5",M9W 1P5,(647) 799-3786,,,,Mon-Fri 8:00 AM \u2013 6:00 PM; Sat 8:00 AM \u2013 5:00 PM,"Tire sales, installation, balancing, alignment, brake service, oil changes, exhaust repair",Proudly Canadian owned & operated,"5.0 stars \u2013 ""The best shop I've ever dealt with for over 30 years""",,
Auto Parts Stores,Canadian Tire \u2013 Albion & Kipling,"1530 Albion Road, Etobicoke, ON M9V 1B5",M9V 1B5,(416) 745-9070,,,,,"Full automotive section, auto parts, auto service centre",,,,
Auto Parts Stores,Canadian Tire \u2013 Rexdale,"2025 Kipling Ave, Rexdale, ON M9W 4J8",M9W 4J8,(416) 743-6950,,canadiantire.ca,,Mon-Fri 8:00 AM \u2013 6:00 PM; Sat 8:00 AM \u2013 5:00 PM; Sun 9:00 AM \u2013 5:00 PM,"Full automotive section, auto parts, tires, tools, auto service centre",,,,
Auto Parts Stores,Carquest Auto Parts,"35 Worcester Rd, Etobicoke, ON M9W 1K9",M9W 1K9,,,carquest.com,,,"Professional-grade parts, battery recycling, paint mixing, spray bombs",Part of Advance Auto Parts network,,,
Auto Parts Stores,General Auto Parts,"370 Rexdale Boulevard, Etobicoke",,,,,,,"Aftermarket parts, competitive prices",Highly reviewed for helpful staff and fair prices,,,
Auto Parts Stores,NAPA Auto Parts,"35 Woodbine Downs Blvd, Rexdale, ON M9W 6N5",M9W 6N5,,,napacanada.com,,,"Over 500,000 parts, professional & DIY customers, free shipping over $75",,,,
Auto Parts Stores,PartSource,"6200 Finch Ave W, Rexdale, ON M9V 0A1",M9V 0A1,(416) 745-4002,,partsource.ca,,Open until 7:00 PM (varies),"OEM & aftermarket auto parts, batteries, filters, alternators, electrical testing, key cutting",,,,
Banks & Credit Unions,(416) 675-8820,,,,,,,,,,,,
Banks & Credit Unions,(416) 743-4223,,,,,,,,,,,,
Banks & Credit Unions,(416) 744-6100,,,,,,,,,,,,
